DATE,AKRGSP,ALRGSP,ARRGSP,AZRGSP,CARGSP,CORGSP,CTRGSP,DCRGSP,DERGSP,FLRGSP,GARGSP,HIRGSP,IARGSP,IDRGSP,ILRGSP,INRGSP,KSRGSP,KYRGSP,LARGSP,MARGSP,MDRGSP,MERGSP,MIRGSP,MNRGSP,MORGSP,MSRGSP,MTRGSP,NCRGSP,NDRGSP,NERGSP,NHRGSP,NJRGSP,NMRGSP,NVRGSP,NYRGSP,OHRGSP,OKRGSP,ORRGSP,PARGSP,RIRGSP,SCRGSP,SDRGSP,TNRGSP,TXRGSP,UTRGSP,VARGSP,VTRGSP,WARGSP,WIRGSP,WVRGSP,WYRGSP
1997-01-01,37880,137143,79164,163114,1343127,175029,183342,74610,43065,537176,314114,53108,107893,35356,553662,222040,98817,139389,180085,293755,216432,41367,386554,203067,217476,78492,26682,301144,20651,66393,47050,408007,64422,84794,915016,446980,109918,112239,473943,38989,131498,22910,202976,816575,75322,294126,19545,259637,203610,55382,22801
1998-01-01,36889,141672,80136,177319,1421713,192216,189859,75778,47120,569488,336066,51723,108526,37144,568418,235591,102346,143394,184356,305814,224832,42674,392288,212772,222481,80537,27924,315199,21676,67545,50072,417249,63999,89089,938989,466789,111739,118195,488899,40360,136129,24204,213093,866952,80085,308784,20122,275275,210292,56244,23387
1999-01-01,36617,146666,84533,192410,1525588,207243,195476,78951,51765,597492,359468,52524,110785,40719,589098,243138,105007,148051,188210,322102,233863,44718,413344,220566,228321,82752,28177,332374,21718,68999,51534,431110,67614,95801,988849,476231,113580,120662,503011,41651,142007,25195,219514,900960,83918,323570,21216,295582,218921,58355,24284
2000-01-01,35909,148188,85271,202215,1638988,222942,209329,79302,54253,623599,373907,53710,116421,45286,611079,251015,107539,143791,181910,348183,242282,46618,420241,234732,235057,83074,28830,340989,22514,71571,55125,452735,68793,100143,1022817,484975,117500,130992,514175,43476,145153,26909,221830,930610,86850,336195,22326,295895,225228,58084,25118
2001-01-01,37102,148824,85283,206560,1627983,226211,212395,83072,56618,645193,378479,53669,114313,44073,610054,245953,107398,144407,184946,352601,251494,47564,408463,235075,233240,82326,29269,348010,22967,72624,55920,458601,69448,102262,1056708,477602,121910,128873,522191,44388,145941,27535,222160,954786,88719,346918,23031,289754,227508,58120,26542
2002-01-01,38605,152630,87979,212195,1669677,228429,211789,85221,54701,671816,380923,55358,117579,45087,612721,252205,109000,147894,187788,354450,259585,48708,419731,240628,235058,83061,29949,353393,24182,73878,57503,469048,71283,105404,1053325,488461,123221,132346,527231,45881,149281,30448,229019,968721,90119,349495,23719,295688,232477,58687,26961
2003-01-01,38262,156970,91767,224650,1745049,229800,214003,86767,55588,696876,391928,58100,122580,46401,621458,260871,111492,151226,195646,362104,266410,49825,427565,251512,240041,86448,31128,361078,25689,78072,59667,480793,74311,110803,1049993,496785,125407,137886,538948,47809,154734,31244,236620,976634,92268,362386,24644,300010,238716,58711,27655
2004-01-01,39648,166286,96064,232105,1832792,229129,227364,90878,57741,726845,408639,61606,131746,48247,635518,268914,111419,155326,203511,369983,280380,51351,426182,260777,245100,88142,32429,375195,25852,79575,61244,485791,79119,122731,1078573,508865,129144,150617,553326,49763,156328,32392,246938,1023202,96277,376770,25519,305266,245125,59692,28433
2005-01-01,40767,171723,99144,251185,1910337,238417,231573,92500,57069,773024,424964,64824,135042,51266,646092,268886,114578,159800,215120,376358,290581,51381,431383,267476,247860,89539,33957,392112,26666,81139,62791,491152,79596,133258,1119304,512223,133649,153771,560689,50380,159689,33162,250834,1047014,102382,396319,25835,325105,250305,61219,29637
2006-01-01,43455,174675,101028,265798,1975457,243172,237280,93801,58308,797997,430438,66313,136928,54240,663632,274074,120445,163941,211535,382718,296547,52002,423582,266429,250021,91544,35030,413835,27771,83415,63924,499482,80852,138235,1145537,511281,141576,167952,563253,51304,162660,33533,256809,1111803,111133,405682,26008,337015,253867,62165,33152
2007-01-01,45735,175332,100287,272417,1999340,250252,247248,96309,57835,799113,433595,67421,142475,55810,671051,281626,126143,162430,205120,392035,297630,51683,419302,267393,250581,93828,36720,414323,28976,84714,63814,502104,80984,137385,1148293,510613,144343,173109,582088,49838,167649,34845,254269,1166680,117659,408148,25857,357635,255091,62160,35019
